scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"December 06, 2020",Actualizat în 19.11.2020,36.000,Iasi,Tatarasi ,Detached,Unfurnished,1,6,8,39 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 27.11.2020,47.000,Iasi,Popas Pacurari ,Detached,N/A,2,2,4,61 mp,2020
"December 06, 2020",Actualizat în 28.11.2020,79.800,Iasi,Copou ,Detached,N/A,3,3,10,88 mp,2021
"December 06, 2020",Actualizat în 26.11.2020,46.835,Iasi,Central ,Detached,Unfurnished,1,2,6,33 mp,2022 (in constructie)
"December 06, 2020",Actualizat în 25.11.2020,38.900,Iasi,Nicolina ,Detached,N/A,2,2,3,43 mp,2020
"December 06, 2020",Actualizat în 19.11.2020,35.900,Iasi,Bucium ,Detached,N/A,2,1,3,47 mp,2020
"December 06, 2020",Actualizat în 17.11.2020,50.400,Iasi,Tudor Vladimirescu ,Detached,N/A,2,2,9,46 mp,2020
"December 06, 2020",Actualizat în 02.12.2020,51.000,Iasi,Cug ,Detached,N/A,2,1,6,51 mp,2020
"December 06, 2020",Actualizat în 10.09.2020,53.400,Iasi,Podul de Piatra ,Detached,N/A,1,4,10,35.6 mp,2022 (proiect)
"December 06, 2020",Actualizat în 04.12.2020,45.800,Iasi,Copou ,Semi_detached,N/A,2,2,11,50 mp,2021
"December 06, 2020",Actualizat în 30.10.2020,65.500,Iasi,Nicolina ,Detached,N/A,2,Parter,N/A,53 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 07.10.2020,50.900,Iasi,Galata ,Detached,N/A,1,Demisol,3,55 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 04.12.2020,37.000,Iasi,Copou ,Detached,Unfurnished,1,1,4,37 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 30.11.2020,45.650,Iasi,Copou ,Semi_detached,Unfurnished,2,4,10,50 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 05.11.2020,90.000,Iasi,Copou ,Detached,Unfurnished,3,3,3,89.17 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 10.07.2020,68.170,Iasi,Copou ,Detached,N/A,2,4,12,59.8 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,66.800,Iasi,Copou ,Detached,Unfurnished,2,11,11,59.04 mp,N/A
"December 06, 2020",Introdus: Ieri,75.200,Iasi,Copou ,Semi_detached,Unfurnished,2,2,4,39.8 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 07.10.2020,59.500,Iasi,Galata ,Detached,N/A,3,Parter,3,64 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,120.500,Iasi,Copou ,Detached,Furnished,3,3,4,73 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 04.12.2020,32.200,Iasi,Pacurari ,Semi_detached,Furnished,1,2,4,30 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,107.300,Iasi,Copou ,Detached,Furnished,2,1,4,65 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 20.11.2020,57.000,Iasi,Pacurari ,Detached,N/A,2,1,3,54.5 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 30.10.2020,55.500,Iasi,Nicolina ,Detached,N/A,2,Parter,3,45 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,67.700,Iasi,Copou ,Detached,Furnished,1,2,4,41 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 20.11.2020,65.000,Iasi,Nicolina ,Detached,N/A,2,2,12,64 mp,2021 (in constructie)
"December 06, 2020",Actualizat ieri,46.500,Iasi,Pacurari ,Detached,Unfurnished,1,4,4,36.2 mp,2020 (in constructie)
"December 06, 2020",Introdus: Ieri,39.900,Iasi,Tatarasi ,Non_detached,Unfurnished,2,2,9,39 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,72.200,Iasi,Copou ,Detached,Unfurnished,2,2,11,63.85 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 19.11.2020,69.000,Iasi,Tatarasi ,House,Unfurnished,2,Parter,6,53 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 02.12.2020,45.130,Iasi,Pacurari ,Detached,N/A,2,Parter,3,48 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 02.12.2020,33.300,Iasi,Pacurari ,House,N/A,1,Parter,3,37 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 20.11.2020,55.000,Iasi,Pacurari ,Semi_detached,N/A,2,3,3,59 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 02.12.2020,45.450,Iasi,Pacurari ,Detached,N/A,2,Parter,3,50.5 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 04.12.2020,48.500,Iasi,Galata ,Detached,Furnished,2,1,4,59 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 26.11.2020,48.000,Iasi,Popas Pacurari ,Detached,Unfurnished,2,1,3,53 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 26.11.2020,61.000,Iasi,Tudor Vladimirescu ,Detached,N/A,2,10,13,39.1 mp,2020
"December 06, 2020",Actualizat în 18.11.2020,65.000,Iasi,Cug ,Semi_detached,N/A,3,6,6,65 mp,2019
"December 06, 2020",Actualizat în 24.11.2020,47.400,Iasi,Copou ,House,Unfurnished,2,1,11,43.07 mp,2022 (in constructie)
"December 06, 2020",Actualizat în 29.06.2020,145.330,Iasi,Copou ,Detached,N/A,3,5,5,78 mp,2019
"December 06, 2020",Actualizat în 10.07.2020,116.595,Iasi,Copou ,Detached,N/A,2,5,5,61.22 mp,2019
"December 06, 2020",Actualizat în 30.11.2020,45.000,Iasi,Cug ,Detached,N/A,2,1,4,53 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 04.12.2020,69.900,Iasi,Nicolina ,Detached,Furnished,3,3,8,60 mp,2019
"December 06, 2020",Actualizat în 05.11.2020,45.000,Iasi,Copou ,Detached,N/A,1,Parter,3,46 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 20.11.2020,35.200,Iasi,Pacurari ,Detached,N/A,1,3,3,35 mp,2021 (in constructie)
"December 06, 2020",Actualizat ieri,37.000,Iasi,Cug ,Detached,Furnished,1,1,4,35 mp,2017
"December 06, 2020",Actualizat în 05.11.2020,65.000,Iasi,Copou ,Detached,Unfurnished,2,2,3,62 mp,2021 (in constructie)
"December 06, 2020",Actualizat ieri,56.352,Iasi,Tatarasi ,Detached,Furnished,1,5,9,46.96 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,76.000,Iasi,Copou ,Detached,Unfurnished,2,3,10,61.88 mp,N/A
"December 06, 2020",Actualizat în 24.11.2020,71.800,Iasi,Copou ,Detached,Unfurnished,2,6,11,65.27 mp,N/A
"December 06, 2020",Actualizat în 19.11.2020,53.655,Iasi,Tatarasi ,Detached,Unfurnished,2,3,8,58 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 26.11.2020,62.000,Iasi,Popas Pacurari ,Semi_detached,Furnished,4,Parter,2,80 mp,2018
"December 06, 2020",Actualizat în 03.12.2020,60.000,Iasi,Bucium ,Detached,N/A,2,3,3,61 mp,2019
"December 06, 2020",Actualizat în 24.11.2020,123.500,Iasi,Copou ,Detached,Furnished,2,3,4,73 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 25.11.2020,64.000,Iasi,Central ,Detached,Furnished,2,2,3,42 mp,1965
"December 06, 2020",Actualizat în 02.11.2020,134.000,Iasi,Tudor Vladimirescu ,Detached,Furnished,3,13,13,103 mp,2018
"December 06, 2020",Actualizat ieri,49.524,Iasi,Metalurgie ,Detached,N/A,1,3,8,41.27 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,50.500,Iasi,Copou ,Detached,Unfurnished,2,10,10,43.9 mp,2022 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,61.600,Iasi,Copou ,House,Unfurnished,2,4,10,53.55 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 25.11.2020,125.000,Iasi,Piata Unirii ,Semi_detached,Furnished,2,2,6,48 mp,1960
"December 06, 2020",Actualizat în 04.12.2020,65.000,Iasi,Galata ,Detached,N/A,2,3,6,65 mp,2020 (finalizata)
"December 06, 2020",Actualizat în 20.11.2020,39.100,Iasi,Pacurari ,Detached,N/A,1,3,3,38.5 mp,2020 (in constructie)
"December 06, 2020",Actualizat în 10.09.2020,63.200,Iasi,Podul de Piatra ,Semi_detached,N/A,2,4,10,39.5 mp,2022 (proiect)
"December 06, 2020",Actualizat în 24.11.2020,54.800,Iasi,Copou ,Detached,Unfurnished,2,5,10,49.77 mp,N/A
"December 06, 2020",Introdus: Ieri,42.277,Iasi,Tatarasi ,Semi_detached,Unfurnished,1,4,9,41.55 mp,2021 (in constructie)
"December 06, 2020",Actualizat în 24.11.2020,67.000,Iasi,Copou ,Detached,Unfurnished,2,2,6,49.77 mp,2022 (in constructie)
"December 06, 2020",Actualizat ieri,35.000,Iasi,Tatarasi ,Detached,Furnished,2,4,4,42 mp,1974
"December 06, 2020",Actualizat în 02.12.2020,50.000,Iasi,Tatarasi ,Detached,N/A,2,1,4,48 mp,1982
"December 06, 2020",Actualizat în 09.11.2020,27.000,Iasi,Lunca Cetatuii ,Detached,N/A,1,1,3,34 mp,2020 (in constructie)
